url,job_title,company,location,salary,experience,education,level,employment_type,industry,required_skills,preferred_skills,specialization,job_description,requirement,standardized_title,is_null_salary,is_thoa_thuan,is_missing_salary
https://www.topcv.vn/viec-lam/ai-engineer/1538167.html,AI Engineer,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Hà Nội,Thoả thuận,2 năm,Đại Học trở lên,Quản lý / Giám sát,Toàn thời gian,Viễn thông,"['Python', 'Machine Learning', 'Recommender System', 'Natural Language Processing', 'Deep learning']",[],"['2 năm kinh nghiệm', 'Đại Học trở lên', 'Nghỉ thứ 7', 'AI Engineer', 'IT - Phần mềm', 'Tài chính']","Phối hợp với các đơn vị trong Tổng công ty để làm rõ nhu cầu ứng dụng AI vào hoạt động sản xuất kinh doanh với các đơn vị. Nghiên cứu các mô hình ứng dụng AI vào hoạt động sản xuất kinh doanh nhằm tối ưu, tăng năng suất, giảm chi phí và tăng trải nghiệm trong các hoạt động. Nghiên cứu tìm hiểu các công nghệ AI đáp ứng các bài toán kinh doanh, triển khai được các bài toán AI vào hoạt động sản xuất kinh doanh Nghiên cứu các đối tác cung cấp giải pháp AI, phối hợp với đối tác triển khai giải pháp AI vào hoạt động sản xuất kinh doanh tại tổng công ty Triển khai hạ tầng, cài đặt các platform, frameworks open source cho các ứng dụng AI trên nền tảng on-premise. Thu thập dữ liệu, xử lý dữ liệu, làm sạch dữ liệu, đánh nhãn dữ liệu Đánh giá và tối ưu các mô hình opensource. Xây dựng bộ KPI, cách đo để xác định mức độ thành công của chương trình, dịch vụ hay sản phẩm từ hành vi của khách hàng trên Web/App và các kênh khác (Google Analysis, App Store, Hệ thống quản trị nội bộ, survey người dùng, tương tác mạng xã hội...) Các bài toán cần triển khai: eKYC, Robo Advisor, Chatbot CSKH, Chatbot hỗ trợ nghiệp vụ, Chatbot quy trình, ...","Tốt nghiệp đại học loại Khá trở lên. Ưu tiên học vị tiến sĩ, thạc sĩ các ngành khoa học dữ liệu, thống kê, toán kinh tế, toán tài chính, khoa học máy tính Tiếng Anh tương đương 650+ Toeic Hiểu biết sâu về xác suất thống kê, hiểu sâu về toán là lợi thế Hiểu biết về các mô hình học máy Có khả năng quản lý nhóm thực hiện các yêu cầu phân tích chuyên sâu và phân tích dự đoán Có kinh nghiệm build các mô hình học máy Có kinh nghiệm sử dụng ít nhất một trong các ngôn ngữ Python, R Ưu tiên ứng viên đã có kinh nghiệm làm về các hệ thống Recommendation System, có sử dụng Reinforcement Learning Tinh thần làm việc tự giác, chủ động, nhiệt tình và có kỷ luật",AI Engineer,False,True,True
https://www.topcv.vn/viec-lam/automation-tester/2066755.html,Automation Tester,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,Hà Nội,20 - 34 triệu,3 năm,Cao Đẳng trở lên,Trưởng nhóm,Toàn thời gian,IT - Phần mềm,[],[],"['3 năm kinh nghiệm', 'Cao Đẳng trở lên', 'Nghỉ thứ 7', 'Automation Tester']","● Tham gia vào việc test các dự án trong ngành ngân hàng. ● Thực hiện kiểm thử theo tính năng, hiệu năng của sản phẩm. ● Tái tạo lỗi, kiểm soát lỗi, theo dõi kết quả kiểm thử để đảm bảo chất lượng của dự án. ● Viết tài liệu hướng dẫn sử dụng phần mềm. ● Phối hợp với các thành viên trong nhóm và các bộ phận liên quan để đảm bảo chất lượng phần mềm trước khi bàn giao cho khách hàng.","● Có kinh nghiệm >3 năm về lĩnh vực kiểm thử phần mềm vị trí Automation Tester ● Có kinh nghiệm về truy vấn cơ sở dữ liệu SQL hoặc API ● Có kinh nghiệm về kiểm thử tự động Mobile App/ web / API / SQL, Jmeter, Postman, Jenkins, Git tool, Maven hoặc trong các hệ thống ở trong các tổ chức lớn. ● Ngôn ngữ: Java ● Có kinh nghiệm lập test plan, test case, tạo data test và hiểu về cơ sở dữ liệu. ● Có kinh nghiệm sử dụng phần mềm quản lý lỗi: Redmine, Jira, Xray.... ● Có hiểu biết và nắm được quy trình phát triển phần mềm, quy trình kiểm thử, các kỹ thuật, công cụ test. ● Ưu tiên: o UV làm với Serenity, Karate framework và có nghiệp vụ ngân hàng. o UV có chứng chỉ ISTQB o UV có kinh nghiệm làm ETL, phân tích xử lý dữ liệu o UVcó hiểu biết về các công cụ kiểm thử tự động/ kiểm thử hiệu năng",Automation Engineer,False,False,False
https://www.topcv.vn/viec-lam/senior-net-developer-web-mobile/1590148.html,Senior .NET Developer (Web & Mobile),Công ty TNHH Dịch Vụ Sửa Chữa Điện Thoại Vui,Hồ Chí Minh,"1,200 - 2,000 USD",3 năm,Cao Đẳng trở lên,Nhân viên,Toàn thời gian,Nhà hàng / Khách sạn,"['C#', '.NET Framework', 'Asp.net Mvc Web Api', 'Sql Server Databases', '.net Core .net 5+']",[],"['3 năm kinh nghiệm', 'Cao Đẳng trở lên', 'Software Engineer', 'IT - Phần mềm', 'Thương mại điện tử', 'Bán lẻ - Hàng tiêu dùng - FMCG']","Phát triển hệ thống Backend:: Thiết kế và phát triển backend services cho hệ thống vận hành DTV sử dụng .NET 9/ .NET 10. Xây dựng RESTful APIs phục vụ: - Web Admin / internal tools - Mobile App (Flutter) cho nhân viên cửa hàng - Tích hợp với các hệ thống trong ecosystem Điện Thoại Vui - Thiết kế và tối ưu database cho các nghiệp vụ: quản lý ticket sửa chữa, linh kiện theo IMEI/Serial, kho linh kiện, tracking lịch sử sửa chữa. - Tối ưu hiệu năng hệ thống: query optimization, caching strategy (Redis), Redis Pub/Sub, xử lý concurrent transactions. Phát triển nghiệp vụ đặc thù Điện Thoại Vui: Xây dựng hệ thống quản lý vòng đời ticket sửa chữa: - Tiếp nhận thiết bị → Chẩn đoán → Báo giá - Sửa chữa → Xuất kho linh kiện → Kiểm tra chất lượng → Trả máy Phát triển các workflow nghiệp vụ hỗ trợ vận hành cửa hàng. Tích hợp hệ thống với các nền tảng: S-Member, Payment, ERP, Inventory, Order, Warranty và các hệ thống khác trong ecosystem Điện Thoại Vui. Đảm bảo dữ liệu được xử lý chính xác và đồng bộ giữa các hệ thống. Phát triển các cơ chế logging, tracking và audit cho các nghiệp vụ quan trọng. Chất lượng kỹ thuật & Hợp tác: Đảm bảo chất lượng code: tuân thủ coding standards và best practices. Tham gia code review và đóng góp ý kiến kỹ thuật. Phối hợp với BA, QA và các developer khác để triển khai đúng yêu cầu nghiệp vụ. Chủ động đề xuất cải tiến performance, maintainability và code quality. Chia sẻ kiến thức và kinh nghiệm kỹ thuật với team.","Tối thiểu 3 năm kinh nghiệm phát triển backend với .NET / C#. Nắm vững OOP, SOLID, Design Patterns, Clean Architecture. Có kinh nghiệm xây dựng REST APIs cho hệ thống backend. Hiểu rõ các vấn đề backend: transaction management, caching, concurrency control, error handling. Có kinh nghiệm làm việc với PostgreSQL hoặc SQL Server: schema design, indexing, query optimization, transaction handling. Có kinh nghiệm làm việc với Redis (caching, pub/sub, distributed lock). Có khả năng phân tích và giải quyết vấn đề kỹ thuật tốt. Ưu tiên: - Có kinh nghiệm với MongoDB hoặc NoSQL database. - Có kinh nghiệm với ClickHouse cho analytics, reporting, log aggregation. - Có kinh nghiệm với Kafka và CDC (Change Data Capture). - Có kinh nghiệm làm việc với Docker và CI/CD pipeline. - Hiểu về Kubernetes và kiến trúc microservices / distributed systems. - Có kinh nghiệm với ERP / Retail / POS systems hoặc hệ thống sửa chữa / bảo hành thiết bị. - Có kinh nghiệm xử lý hệ thống có lượng dữ liệu lớn. Kỹ năng mềm: - Kỹ năng giao tiếp tốt, có khả năng trình bày ý tưởng kỹ thuật rõ ràng. - Tinh thần teamwork, hợp tác hiệu quả trong môi trường cross-functional. - Tư duy problem-solving, chủ động tìm giải pháp và đề xuất cải tiến. - Có trách nhiệm với công việc, cam kết về chất lượng sản phẩm. - Sẵn sàng học hỏi công nghệ mới và thích nghi với thay đổi.",Backend Developer,False,False,False
https://www.topcv.vn/viec-lam/bridge-software-engineer-jlpt-n2/2073670.html,Bridge Software Engineer (JLPT N2+),FPT Software,Cần Thơ,Thoả thuận,5 năm,Đại Học trở lên,Nhân viên,Toàn thời gian,Tài chính,"['Training', 'business analysis', 'Mentoring', 'Japanese Proficiency', 'Technical review', 'Java development', 'PHP development', 'AWS development']",['Fluent Japanese'],"['5 năm kinh nghiệm', 'Đại Học trở lên', 'Tiếng Nhật JLPT N2', 'Nghỉ thứ 7', 'Bảo hiểm sức khỏe', 'Khám sức khỏe định kỳ', 'Kỹ sư cầu nối BrSE', 'IT - Phần mềm']","Communicate directly with Japanese clients to gather, clarify, and analyze requirements. Translate business and technical requirements between Japanese and Vietnamese/English teams. Collaborate closely with development teams to ensure accurate understanding and implementation of specifications. Review system design, source code, and deliverables to ensure quality and alignment with customer expectations. Provide training, mentoring, and technical reviews for team members. Support project planning, timeline estimation, and progress management. Monitor project quality and ensure timely delivery. Participate in meetings with clients (daily/weekly) and prepare required documentation.","Must-have: At least 1 year of experience as a BrSE in the IT industry. 5+ years of PHP development experience (PHP 開発経験5年以上). Practical experience with Java development. Hands-on experience with AWS development and cloud services (AWS 開発経験あり). Experience in training, mentoring, or reviewing team members (教育的レビュー経験あり). Japanese proficiency JLPT N2 or higher (日本語レベル N2以上). Strong analytical, communication, and problem-solving skills. Ability to work independently and proactively handle issues. Language Requirements Fluent in Japanese (both written and spoken) is a strong advantage.",Bridge Engineer,False,True,True
https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-nghiep-vu-ba/1861338.html,Chuyên Viên Phân Tích Nghiệp Vụ ( BA ),Công ty cổ phần đầu tư KD,Hà Nội,Thoả thuận,3 năm,Đại Học trở lên,Trưởng nhóm,Toàn thời gian,Bất động sản,"['Giao tiếp', 'Phân Tích Nghiệp Vụ', 'Giải quyết vấn đề', 'Thu Thập Yêu Cầu', 'Mô Hình Hóa Quy Trình']",[],"['3 năm kinh nghiệm', 'Đại Học trở lên', 'Nghỉ thứ 7', 'Bảo hiểm xã hội', 'Thưởng tháng 13', 'Business Analyst (Phân tích nghiệp vụ)', 'IT - Phần cứng và máy tính', 'IT - Phần mềm']",Làm việc với các phòng ban để thu thập yêu cầu Xây dựng tài liệu phân tích nghiệp vụ chi tiết Thiết kế quy trình nghiệp vụ và use cases Hỗ trợ người dùng trong việc sử dụng ứng dụng Phối hợp với đội phát triển để triển khai giải pháp Tham gia lập kế hoạch triển khai hệ thống CNTT Thiết kế các báo cáo phục vụ quản trị,"Bằng đại học chuyên ngành CNTT, Hệ thống thông tin, Quản trị kinh doanh hoặc tương đương Kiến thức về phân tích và thiết kế hệ thống Hiểu biết về quy trình nghiệp vụ và mô hình hóa Kiến thức về UML và các công cụ mô hình hóa Tối thiểu 3 năm kinh nghiệm làm BA Kinh nghiệm thu thập và phân tích yêu cầu Kinh nghiệm viết tài liệu đặc tả yêu cầu Kinh nghiệm làm việc trong các dự án phát triển phần mềm Kỹ năng giao tiếp và phỏng vấn người dùng Kỹ năng phân tích và tư duy logic Kỹ năng viết tài liệu rõ ràng, súc tích Kỹ năng thuyết trình và làm việc nhóm Ưu tiên ứng viên Nam có thể đi công tác",Business Analyst,False,True,True
https://www.topcv.vn/viec-lam/cloud-vmware-engineer/2035722.html,Cloud VMware Engineer,Viettel IDC Pro Company,Hà Nội,Thoả thuận,2 năm,Đại Học trở lên,Nhân viên,Toàn thời gian,Viễn thông,"['Docker', 'VMWare', 'VMware, OpenStack, Hyper-V, Oracle', 'Microservice', 'Container', 'cpu', 'GPU']",[],"['2 năm kinh nghiệm', 'Đại Học trở lên', 'Nghỉ thứ 7', 'System Engineer', 'IT - Phần cứng và máy tính', 'IT - Phần mềm']","Gia nhập đội ngũ tiên phong dẫn dắt sự thay đổi cùng Viettel IDC Hơn cả một công việc, Viettel IDC mang đến cho bạn cơ hội phụng sự, kiến tạo và dẫn dắt hạ tầng chuyển đổi số quốc gia. Các nhiệm vụ chính: 1. Tham gia nghiên cứu các giải pháp công nghệ, thiết kế, triển khai hệ thống cho các sản phẩm, nhóm dịch vụ Cloud VMware; 2. Phối hợp với Product Manager (PM), Business Analyst (BA) và Software Developer theo mô hình Agile để phát triển, đưa ra thị trường các sản phẩm mới hoặc nâng cấp, cải tiến các tính năng cho sản phẩm hiện có; 3. Chịu trách nhiệm capacity planning, performance tuning, lifecycle management của hạ tầng 4. Làm việc với Broadcom/VMware và đối tác để cập nhật patch, version upgrade, compliance theo chuẩn. 5. Hỗ trợ team kinh doanh & presale trong các dự án khách hàng: POC, triển khai, migration 6. Xây dựng các tài liệu Datasheet; Hướng dẫn quản trị, vận hành hệ thống, đào tạo cho đội ngũ hỗ trợ Kỹ thuật và Quản trị hệ thống. Hỗ trợ kỹ thuật dịch vụ lớp 3 cho Khách hàng và xử lý sự cố mức core các sản phẩm Cloud phụ trách; 7. Tham gia hỗ trợ tư vấn giải pháp và triển khai các dự án cho Khách hàng khi cần; 8. Ứng dụng các công cụ phổ biến trên thế giới hiện nay: Ansible, Container (Docker, Kubernetes), Jira, Gitlab... phục vụ quá trình nghiên cứu phát triển và triển khai đóng gói sản phẩm. Phỏng vấn có thể đi làm sau Tết","1. Tốt nghiệp Đại học chuyên ngành Công nghệ Thông tin (CNTT), Khoa học Máy tính (KHMT), Điện tử Viễn thông (ĐTVT) hoặc tương đương; 2. Tối thiểu 02 năm kinh nghiệm nghiên cứu, phát triển, đóng gói sản phẩm; 2. Có kiến thức và hiểu biết về ứng dụng microservice, container (Docker, Containerd, Kubernetes) và các công nghệ liên quan 3. Hiểu biết cơ bản về nền tảng Cloud Vmware hoặc Openstack 4. Có chứng chỉ chuyên môn liên quan đến VPC VDC, VPC Automation, VPC Network & Security là lợi thế 5. Tiếng Anh tương đương 550 Toeic (có bài test thay thế nếu không có chứng chỉ) 6. Ưu tiên có kinh nghiệm về Linux (Ubuntu, CentOS), có khả năng lập trình mức cơ bản với ít nhất 1 ngôn ngữ (Python, Bash script)",Cloud Engineer,False,True,True
https://www.topcv.vn/viec-lam/data-analyst/2073088.html,Data Analyst,Viettel Software,Hà Nội,Thoả thuận,2 năm,Đại Học trở lên,Trưởng nhóm,Toàn thời gian,IT - Phần mềm,[],[],"['2 năm kinh nghiệm', 'Đại Học trở lên', 'Nghỉ thứ 7', 'Data Analyst', 'IT - Phần mềm']","Làm việc với các đơn vị chức năng, nghiệp vụ để xác định mức độ ưu tiên, các bài toán cần triển khai. Phân tích, mô tả đặc điểm của thuộc tính, đối tượng Trực quan hóa kết quả phân tích theo ""ngôn ngữ của người dùng cuối"" Tìm hiểu bài toán (Business Understanding): Phối hợp với đơn vị BA và lên đề xuất giải pháp cho bài toán phân tích. Tìm hiểu dữ liệu (Data Understanding): Tìm hiểu ý nghĩa các trường dữ liệu hiện có để đưa làm đầu vào của bài toán; Thu thập, tổng hợp thêm các thuộc tính đặc trưng phục vụ cho đầu vào bài toán. Làm sạch dữ liệu (Data Cleaning): Loại bỏ phần tử ngoại lai, thêm các giá trị bị thiếu, sửa các giá trị bị sai trong dữ liệu, dữ liệu không đúng format (Date, String, Number)… Tích hợp dữ liệu (Data Integration): Dữ liệu từ nhiều nguồn do đó có thể bị trùng lặp dữ liệu. Biến đổi dữ liệu (Data Transformation): Tổng hợp và biến đổi dữ liệu để đưa ra các thuộc tính mới (phụ thuộc vào bước tìm hiểu dữ liệu ở trên). Phân tích mô tả (Descriptive Analysis) Trực quan hóa kết quả phân tích.","Tốt nghiệp ĐH trở lên chuyên ngành khoa học dữ liệu, khoa học máy tính, CNTT, toán học ứng dụng, điện tử viễn thông… hoặc các chuyên ngành liên quan. Từ 2 năm kinh nghiệm DA Kiến thức về phân tích khám phá dữ liệu (Exploratory Data Analysis - EDA) Kiến thức về trực quan hóa dữ liệu (Data Visualization) Kiến thức về các loại CSDL (RDBMS, Graph Databases, NoSQL Products,...) Kiến thức về xử lý dữ liệu phân tán, xử lý dữ liệu lớn (Hadoop, Spark, Elasticsearch…) Kỹ năng sử dụng SQL Kỹ năng sử dụng các công cụ trực quan hóa dữ liệu (Tableau, QLikView, PowerBI,...)",Data Analyst,False,True,True
https://www.topcv.vn/viec-lam/data-engineer/2095764.html,Data Engineer,Vega Corporation,Hà Nội,15 - 25 triệu,1 năm,Đại Học trở lên,Nhân viên,Toàn thời gian,IT - Phần mềm,[],[],"['1 năm kinh nghiệm', 'Đại Học trở lên', 'Nghỉ thứ 7', 'Data Engineer']","Thiết kế chi tiết, phát triển và tối ưu các hệ thống thu thập, xử lý dữ liệu quy mô lớn (batch & streaming) từ nhiều nguồn khác nhau. Xây dựng và quản lý hạ tầng Data Lake/Data Warehouse, đảm bảo khả năng mở rộng và hiệu quả vận hành. Triển khai các pipeline ETL/ELT tự động, đảm bảo dữ liệu được làm sạch, chuẩn hóa, và sẵn sàng phục vụ cho phân tích, báo cáo và các mô hình ML/AI. Phối hợp với Data Analyst để xây dựng các hệ thống báo cáo BI, dashboard phân tích. Hỗ trợ Data Scientist trong việc truy xuất, xử lý và chuẩn bị dữ liệu cho việc huấn luyện mô hình. Thiết kế và phát triển các API dịch vụ dữ liệu (data service API) phục vụ các hệ thống ứng dụng khác. Nghiên cứu, đề xuất và áp dụng các công nghệ mới nhằm nâng cao hiệu suất xử lý dữ liệu và tối ưu chi phí hạ tầng.","Tốt nghiệp đại học chuyên ngành Công nghệ thông tin, Khoa học máy tính, Toán tin hoặc tương đương. Có 1 năm kinh nghiệm làm việc với các hệ quản trị cơ sở dữ liệu như PostgreSQL, MySQL, SQL Server. Thành thạo Python (ưu tiên có kinh nghiệm với Jupyter Notebook, Pandas, PySpark). Kỹ năng giải quyết vấn đề, tư duy logic và khả năng nghiên cứu công nghệ mới tốt.",Data Engineer,False,False,False
https://www.topcv.vn/viec-lam/data-scientist-ob-som/2053974.html,Data Scientist - OB Sớm,Công ty TNHH Giải pháp Phân tích dữ liệu Insight Data,Hà Nội,Thoả thuận,2 năm,Đại Học trở lên,Trưởng nhóm,Toàn thời gian,IT - Phần mềm,[],['A B Testing'],"['2 năm kinh nghiệm', 'Đại Học trở lên', 'Nghỉ thứ 7', 'Data Scientist', 'Bán lẻ - Hàng tiêu dùng - FMCG', 'Thực phẩm / Đồ uống', 'IT - Phần mềm']","Phát triển và triển khai các giải pháp Data Science/ML nhằm tăng doanh thu lặp lại, giảm churn và tối ưu hoạt động marketing & vận hành. Xây dựng mô hình phân khúc khách hàng, dự đoán churn/uplift và cá nhân hóa ưu đãi cho các kênh dine-in, app, delivery. Thực hiện dự báo doanh thu, lượng khách, nhu cầu nguyên vật liệu; hỗ trợ tối ưu phân ca nhân sự. Thiết kế và phân tích A/B testing, mô hình nhân quả để đánh giá hiệu quả chiến dịch và chính sách giá.","Tốt nghiệp Đại học ngành CNTT hoặc tương đương Tối thiểu 2 năm kinh nghiệm ở vị trí Data Scientist (Dưới 1 năm hoặc 1 năm kinh nghiệm vui lòng không apply vào đây) Có kinh nghiệm làm việc trong môi trường B2C / Retail / F&B / E-commerce. Thành thạo Python (pandas, NumPy, scikit-learn; ưu tiên LightGBM/XGBoost) và SQL. Nắm vững Machine Learning (classification, regression, feature engineering) và Forecasting. Có kinh nghiệm A/B testing, phân tích dữ liệu và giải quyết bài toán kinh doanh thực tế. Hiểu và từng tham gia triển khai mô hình ML, MLOps cơ bản (MLflow, Docker, batch/API).",Data Scientist,False,True,True
https://www.topcv.vn/viec-lam/quan-tri-co-so-du-lieu-bda/2028803.html,Quản Trị Cơ Sở Dữ Liệu (BDA),Công ty cổ phần Công nghệ thông tin Phú Minh (Phú Minh Teck),Hà Nội,25 - 30 triệu,3 năm,Đại Học trở lên,Nhân viên,Toàn thời gian,IT - Phần mềm,[],[],"['3 năm kinh nghiệm', 'Đại Học trở lên', 'Nghỉ thứ 7', 'Data Engineer']","- Tham gia dự án xây dựng Hệ thống cơ sở dữ liệu E&P, cơ sở dữ liệu khâu sau, cơ sở dữ liệu Điện và NLTT, cơ sở dữ liệu Dịch vụ Dầu khí: các công việc về khảo sát lấy yêu cầu, phân tích thiết kế cơ sở dữ liệu/ phần mềm. - Tham gia các dự án triển khai hệ thống CSDL và phần mềm doanh nghiệp (ERP Odoo, chuyển đổi số), dự án trung tâm điều hành thông minh. - Cài đặt, cấu hình, vận hành và quản trị PostgreSQL cho hệ thống Odoo ERP . - Phân tích và tối ưu hiệu năng CSDL: query, index, execution plan, vacuum, xử lý lock/deadlock. - Lập báo cáo định kỳ, đột xuất theo yêu cầu.","Bằng cấp: Đại Học/trên Đại học chuyên ngành CNTT, Toán tin, Khoa học máy tính, Điện tử viễn thông hoặc tương đương; từ 3 năm kinh nghiệm DBA / Database Administrator Thành thạo PostgreSQL (ưu tiên có kinh nghiệm với Odoo) Thành thạo SQL và query tuning Kinh nghiệm vận hành hệ thống production Hiểu rõ: Index, Transaction, Lock, Replication cơ bản, Backup/Restore Linux server cơ bản Có khả năng xử lý sự cố và support hệ thống live Ưu tiên / Điểm cộng: Kinh nghiệm làm việc với Odoo ERP hoặc hệ thống ERP tương tự Hiểu ORM và workload nhiều transaction Tối ưu bảng dữ liệu lớn (logs/transactions) Kinh nghiệm xử lý lock, deadlock, blocking session Monitoring tools (Grafana/Prometheus/Zabbix)",Database Engineer,False,False,False
